,acc,loss,norm/transformer_layer.self_attn.in_proj_weight,norm/transformer_layer.self_attn.in_proj_bias,norm/transformer_layer.self_attn.out_proj.weight,norm/transformer_layer.self_attn.out_proj.bias,norm/transformer_layer.linear1.weight,norm/transformer_layer.linear1.bias,norm/transformer_layer.linear2.weight,norm/transformer_layer.linear2.bias,norm/transformer_layer.norm1.weight,norm/transformer_layer.norm1.bias,norm/transformer_layer.norm2.weight,norm/transformer_layer.norm2.bias,norm/classifier.0.weight,norm/classifier.0.bias,norm/classifier.2.weight,norm/classifier.2.bias
0,0.6,0.6966835856437683,0.0018611029954627156,0.0018611029954627156,0.0011196000268682837,0.001916963723488152,0.00180865079164505,0.0010445249499753118,0.0031131263822317123,0.0017392653971910477,0.0012822117423638701,0.001364857074804604,0.0015896030236035585,0.0016137815546244383,0.0062558953650295734,0.003752904711291194,0.12948983907699585,0.1432870775461197
1,0.6,0.6945101618766785,0.001944814808666706,0.001944814808666706,0.001166964997537434,0.002402328187599778,0.0011408051941543818,0.0006579686305485666,0.0018114703707396984,0.0010553681058809161,0.0008360386127606034,0.0011901612160727382,0.002344871871173382,0.0017661527963355184,0.0075143687427043915,0.003976525738835335,0.2102295309305191,0.1418142169713974
2,0.6,0.6952248811721802,0.0013625387800857425,0.0013625387800857425,0.0008456944487988949,0.0019642652478069067,0.0009853534866124392,0.0005674473941326141,0.0015556849539279938,0.001600053976289928,0.0010483039077371359,0.0010803814511746168,0.0020775983575731516,0.0019125392427667975,0.00717483414337039,0.004193904809653759,0.1508178412914276,0.1403207629919052
3,0.6,0.6948057413101196,0.0026074314955621958,0.0026074314955621958,0.0015024960739538074,0.0033309664577245712,0.0007341511081904173,0.00042183755431324244,0.0013974187895655632,0.0008508610771968961,0.0011538270628079772,0.0013832167023792863,0.0022410983219742775,0.002066375222057104,0.007679356727749109,0.00442989869043231,0.14729446172714233,0.1395409256219864
4,0.6,0.6940008401870728,0.0012624879600480199,0.0012624879600480199,0.0008264171774499118,0.0021969107910990715,0.001801260281354189,0.0010372849646955729,0.0026831976138055325,0.0018814484355971217,0.0013702509459108114,0.0015526843490079045,0.0023950194008648396,0.002180724870413542,0.0076893228106200695,0.004584130365401506,0.1558184027671814,0.1363763064146042
5,0.6,0.6938142776489258,0.0013306107139214873,0.0013306107139214873,0.0008242043550126255,0.002069470938295126,0.0011710796970874071,0.0006732640322297812,0.002070905640721321,0.0013394473353400826,0.0012757196091115475,0.001703471876680851,0.0025375899858772755,0.002344339620321989,0.008382902480661869,0.004842876922339201,0.14532792568206787,0.13643412292003632
6,0.6,0.6940099000930786,0.003736968385055661,0.003736968385055661,0.002182685537263751,0.004451185464859009,0.004038807470351458,0.0023215748369693756,0.005739947315305471,0.003321668365970254,0.0028132107108831406,0.0029970980249345303,0.002593819983303547,0.0024584189523011446,0.009349541738629341,0.005000557284802198,0.1205839142203331,0.1337629109621048
7,0.6,0.6924213171005249,0.0025034041609615088,0.0025034041609615088,0.0014617813285440207,0.0038015481550246477,0.0017151768552139401,0.0009845336899161339,0.0022636251524090767,0.0018051188671961427,0.0017697140574455261,0.0019271121127530932,0.0028721271082758904,0.0025875219143927097,0.008782180026173592,0.005192880984395742,0.15497717261314392,0.13227792084217072
8,0.6,0.6919512748718262,0.0017439721850678325,0.0017439721850678325,0.0010175781790167093,0.0027013923972845078,0.0015387504827231169,0.0008827674319036305,0.002532751765102148,0.001200442318804562,0.0017289818497374654,0.0022993176244199276,0.0030702108051627874,0.002699613803997636,0.009403645060956478,0.0053510721772909164,0.15229155123233795,0.13004648685455322
9,0.6,0.690813422203064,0.0034282226115465164,0.0034282226115465164,0.0019607492722570896,0.0050414795987308025,0.001311248168349266,0.0007513451855629683,0.0019283606670796871,0.0013119172072038054,0.0013190284371376038,0.001702422508969903,0.0033520569559186697,0.002840261207893491,0.009605376981198788,0.005565720610320568,0.16974136233329773,0.12928807735443115
10,0.6,0.6921361684799194,0.004181432072073221,0.004181432072073221,0.00238802214153111,0.006361543666571379,0.0037015106063336134,0.0021164126228541136,0.0054293363355100155,0.002863912144675851,0.003423465183004737,0.0036065583117306232,0.003074818290770054,0.002953283255919814,0.010474048554897308,0.005725300405174494,0.11916177719831467,0.1273118406534195
