run_uuid,function_uuid,coeffs,comps,random_seed,min_loss,max_eval_acc,ds_fraction_positive
2a6b1944-e8e7-4b82-824e-7e6e0effc27b,6ffda8ed-840b-47c7-9b70-651fb777bbe8,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",875856,0.008850867111235857,0.9900000691413879,0.382999986410141
16ff30c8-cf0f-4743-874e-0f1976197a20,6ffda8ed-840b-47c7-9b70-651fb777bbe8,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",384789,0.3965970070362091,0.8300000429153442,0.40700000524520874
549592d8-41df-4943-b531-95805ca7f0ba,e3d80449-f0ae-4f90-bb0c-c94004b4e08f,"[0.84843909740448, -0.7772574424743652, -0.6466354131698608, 0.3677266836166382]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",94196,0.018768611803650855,1.0,0.32199999690055847
a415ba47-dcf1-4ded-b672-eb30251e31d5,e3d80449-f0ae-4f90-bb0c-c94004b4e08f,"[0.84843909740448, -0.7772574424743652, -0.6466354131698608, 0.3677266836166382]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",59836,0.38424201917648315,0.8400000333786011,0.3440000116825104
