run_uuid,function_uuid,coeffs,comps,random_seed,min_loss,max_eval_acc,ds_fraction_positive
7c86e137-e389-48d0-809f-2c064e8b63fe,7d451457-f053-47b7-8fa1-9492bd2e94f3,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",875856,0.010114044867455959,0.9900000691413879,0.382999986410141
5ca1830a-17e3-4645-81c1-6e056bee484a,7d451457-f053-47b7-8fa1-9492bd2e94f3,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",384789,0.3963981626033783,0.8300000429153442,0.40700000524520874
456776d9-6ab0-46d8-9cf5-ab9c8002d10f,7d451457-f053-47b7-8fa1-9492bd2e94f3,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",422026,0.008765690423548222,0.9980000257492065,0.39100000262260437
c264a14c-0820-40c1-a20f-7614056faef2,7d451457-f053-47b7-8fa1-9492bd2e94f3,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",94944,0.018350679069757462,0.9880000352859497,0.382999986410141
f87c36a1-1a43-4e1f-a35b-3d89ccda93ec,7d451457-f053-47b7-8fa1-9492bd2e94f3,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",431304,0.020298844546079636,0.9880000352859497,0.39800000190734863
58f22f23-16ec-42da-b479-43e0dd66f1a8,b6af083f-55fb-48f6-bd36-2aeb631638af,"[0.31933414936065674, -0.298109769821167, -0.46356022357940674, 0.23350989818572998]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",440438,0.023390884280204773,1.0,0.4779999852180481
680f52d8-b5a0-4761-a71a-b2fe3044395a,b6af083f-55fb-48f6-bd36-2aeb631638af,"[0.31933414936065674, -0.298109769821167, -0.46356022357940674, 0.23350989818572998]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",584167,0.1947940580844879,0.8820000290870667,0.5109999775886536
f65f2a80-e6c4-4a7e-9ded-82b6085c65dc,b6af083f-55fb-48f6-bd36-2aeb631638af,"[0.31933414936065674, -0.298109769821167, -0.46356022357940674, 0.23350989818572998]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",195584,0.0074142091572284696,0.9960000514984131,0.5249999761581421
80ac7808-f65d-464d-855d-9056cddf8635,b6af083f-55fb-48f6-bd36-2aeb631638af,"[0.31933414936065674, -0.298109769821167, -0.46356022357940674, 0.23350989818572998]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",618066,0.00882248593866825,0.9960000514984131,0.47600001096725464
0323f2aa-370e-4398-97a5-80189ee7f733,b6af083f-55fb-48f6-bd36-2aeb631638af,"[0.31933414936065674, -0.298109769821167, -0.46356022357940674, 0.23350989818572998]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",583769,0.005546260837465525,1.0,0.460999995470047
