,uuid,epoch,loss,train_acc,eval_acc,eval_acc_0,eval_acc_1,eval_acc_2,eval_acc_3,eval_acc/head_0,eval_acc/head_1,eval_acc/head_2,eval_acc_0/head_0,eval_acc_0/head_1,eval_acc_0/head_2,eval_acc_1/head_0,eval_acc_1/head_1,eval_acc_1/head_2,eval_acc_2/head_0,eval_acc_2/head_1,eval_acc_2/head_2,eval_acc_3/head_0,eval_acc_3/head_1,eval_acc_3/head_2
0,97f99b37-c18b-49ad-bbbf-7399849f4eec,0,0.9860844016075134,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
1,97f99b37-c18b-49ad-bbbf-7399849f4eec,1,0.9725677371025085,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
2,97f99b37-c18b-49ad-bbbf-7399849f4eec,2,0.9594436883926392,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
3,97f99b37-c18b-49ad-bbbf-7399849f4eec,3,0.9462490081787109,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
4,97f99b37-c18b-49ad-bbbf-7399849f4eec,4,0.9328843951225281,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
5,97f99b37-c18b-49ad-bbbf-7399849f4eec,5,0.9193186163902283,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
6,97f99b37-c18b-49ad-bbbf-7399849f4eec,6,0.9055531620979309,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
7,97f99b37-c18b-49ad-bbbf-7399849f4eec,7,0.8915916681289673,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
8,97f99b37-c18b-49ad-bbbf-7399849f4eec,8,0.8774339556694031,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
9,97f99b37-c18b-49ad-bbbf-7399849f4eec,9,0.8630877733230591,0.52,0.4533333480358124,1.0,1.0,0.1066666692495346,1.0,0.4533333480358124,0.4533333480358124,0.4533333480358124,1.0,1.0,1.0,1.0,1.0,1.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,1.0,1.0,1.0
